Task Name,Objects,Instructions,Wrong Instructions
ReachTarget,"['target', 'boundary', 'distractor0', 'distractor1']","['reach the magenta target', 'touch the magenta ball with the panda gripper', 'reach the magenta sphere']","['reach the blue target', 'touch the green ball with the panda gripper', 'reach the red sphere']"
CloseBox,"['box_base', 'box_lid']","['close box', 'close the lid on the box', 'shut the box', 'shut the box lid']","['open the box', 'remove the lid', 'lift the box', 'rotate the box']"
CloseMicrowave,"['boundary_root', 'microwave_frame_resp', 'microwave_frame_vis', 'microwave_door_resp', 'microwave_door']","['close microwave', 'shut the microwave', 'close the microwave door', 'push the microwave door shut']","['open microwave', 'pull the microwave door', 'leave the microwave door open']"
PlugChargerInPowerSupply,"['plug', 'task_wall', 'charger_boundary', 'hole0', 'hole1', 'charger', 'hole_visual0', 'hole_visual1', 'charger_visual', 'detector1', 'detector2']","['plug charger in power supply', 'pick up the charger and plug in it', 'plug the charger into the mains', 'lift the charger up to the wall and plug it in', 'plug the charger into the wall']","['pick up the plug and place it on the task_wall', 'insert the charger into hole0', 'move the charger to the charger_boundary']"
ToiletSeatDown,"['toilet_seat_up_toilet', 'toilet', 'toilet_seat_up_respondable', 'toilet_seat_up_seat']","['toilet seat down', 'put the toilet seat down', 'grasping the top of the lid, close the toilet seat', 'put the toilet lid down', 'leave the toilet seat down', 'close the lid on the toilet', 'leave the toilet seat down', 'lower the toilet seat', 'grip the edge of the toilet lid and lower it flat on the toilet seat']","['raise the toilet seat', 'open the toilet lid', 'lift the toilet seat up']"
TakeUmbrellaOutOfUmbrellaStand,"['stand', 'umbrella', 'stand_visual', 'umbrella_visual']","['take umbrella out of umbrella stand', 'grasping the umbrella by its handle, lift it up and out of the stand', 'remove the umbrella from the stand', 'retrieve the umbrella from the stand', 'get the umbrella', 'lift the umbrella out of the stand']","['place umbrella into umbrella stand', 'grasping the umbrella by its handle, push it down into the stand', 'insert the umbrella into the stand']"
PutUmbrellaInUmbrellaStand,"['stand', 'umbrella', 'stand_visual', 'umbrella_visual']","['put umbrella in umbrella standpick up the umbrella and drop it in its stand', 'use the handle to lift the umbrella and place it in its holderset the umbrella down inside the umbrella stand']","['place the umbrella on the stand', 'drop the umbrella next to the stand', 'put the umbrella on top of the stand']"
SlideCabinetOpen,"['cabinet_base', 'left_board0', 'right_board', 'left_handle_visual', 'left_board_visual', 'right_handle_visual', 'right_board_visual']","['slide left cabinet open', 'open the left door', 'open the left half of the cabinet', 'slide open the left slide of the cabinet', 'grip the left handle and slide the door open', ""grasp the left door's handle and and drag it towards the middle of the cabinet in order to slide that door open""]","['slide right cabinet open', 'open the right door', 'open the right half of the cabinet']"
CloseFridge,"['fridge_root', 'fridge_base', 'fridge_base_visual', 'shelf0', 'door_bottom', 'door_top', 'shelf1', 'shelf2', 'door_bottom_visual', 'door_top_visual']","['close fridge', 'close the fridge', 'shut the fridge', 'close the fridge door', 'swing the fridge door shut']","['open fridge', 'open the fridge', 'leave the fridge open', 'swing the fridge door open', 'keep the fridge door open']"
PickAndLift,"['pick_and_lift_target', 'pick_and_lift_boundary', 'success_visual', 'stack_blocks_distractor1', 'stack_blocks_distractor0']","['pick up the orange block and lift it up to the target', 'grasp the orange block to the target', 'lift the orange block up to the target']","['pick up the orange block and place it on the boundary', 'grasp the orange block and move it to the distractor', 'lift the orange block and drop it']"
OpenBox,"['box_base', 'box_lid']","['open box', 'open the box lid', 'open the box', 'grasp the lid and open the box']","['close the box', 'grasp the base and open the box', 'open the box base']"
OpenMicrowave,"['boundary_root', 'microwave_frame_resp', 'microwave_frame_vis', 'microwave_door_resp', 'microwave_door']","['open microwave', 'open the microwave door', 'pull the microwave door open']","['close microwave', 'push the microwave door closed', 'leave the microwave door as is']"
UnplugCharger,"['plug', 'task_wall', 'charger', 'hole1', 'hole2', 'charger_visual', 'hole_visual1', 'hole_visual2']","['unplug charger', 'take the charger out of the wall', 'grip the black charger and pull it out of its socket', 'slide the plug out from the wall', 'remove the charger from the mains', 'get the charger from the wall plug']","['insert charger', 'push the charger into the wall', 'grip the black charger and push it into its socket', 'slide the plug into the wall', 'insert the charger into the mains', 'put the charger into the wall plug']"
ToiletSeatUp,"['toilet_seat_up_toilet', 'toilet_seat_up_respondable', 'toilet_seat_up_seat']","['lift toilet seat up', 'put the toilet seat up', 'leave the lid of the toilet seat in a upright position', 'grip the edge of the toilet seat and lift it up to an upright position', 'leave the toilet lid open', 'raise the toilet seat']","['lower the toilet seat', 'put the toilet seat down', 'leave the lid of the toilet seat in a down position']"
OpenFridge,"['fridge_root', 'fridge_base', 'fridge_base_visual', 'shelf0', 'door_bottom', 'door_top', 'shelf1', 'shelf2', 'door_bottom_visual', 'door_top_visual']","['open fridge', 'grip the handle and slide the fridge door open', 'open the fridge door']","['close fridge', 'grip the handle and slide the fridge door closed', 'close the fridge door']"
TurnTap,"['tap_main', 'tap_main_visual', 'tap_left', 'tap_right', 'tap_left_visual', 'tap_right_visual']","['turn right tap', 'rotate the right tap', 'grasp the right tap and turn it']","['turn left tap', 'rotate the left tap', 'grasp the left tap and turn it']"
LightBulbIn,"['lamp_base', 'bulb_holder1', 'bulb_holder0', 'spawn_boundary', 'lamp_screw', 'bulb_phys1', 'bulb_phys0', 'light_bulb1', 'light_bulb0', 'bulb1', 'bulb0']","['screw in the silver light bulb', 'screw the light bulb from the silver holder into the lamp', 'pick up the light bulb from the silver stand, lift it up to just above the lamp, then screw it down into the lamp in a clockwise fashion', 'put the light bulb from the silver casing into the lamp']","['screw in the gold light bulb', 'screw the light bulb from the gold holder into the lamp', 'pick up the light bulb from the gold stand, lift it up to just above the lamp, then screw it down into the lamp in a counterclockwise fashion', 'put the light bulb from the gold casing into the lamp']"
BasketballInHoop,"['basket_boundary_root', 'basket_ball_hoop_respondable', 'ball_stop', 'ball', 'basket_ball_hoop_visual']","['put the ball in the hoop', 'play basketball', 'shoot the ball through the net', 'pick up the basketball and put it in the hoop', 'throw the basketball through the hoop', 'place the basket ball through the hoop']","['put the ball outside the hoop', 'play soccer', 'shoot the ball away from the net']"
OpenWindow,"['boundary_root', 'window_main', 'right_frame', 'window_wall0', 'window_main_visual', 'right_frame_visual', 'left_frame', 'window_left', 'left_frame_visual', 'left_handle', 'left_handle_visual']","['open left window', 'rotate the handle to unlock the left window, then open it', 'push the left window open', 'use the handle to open the left window']","['close left window', 'rotate the handle to lock the left window, then close it', 'pull the left window closed', 'use the handle to close the left window']"
CloseDoor,"['boundary_root', 'door_frame', 'door_main', 'door_main_visible', 'open_door_handle', 'door_handle_visible']","['close the door', 'shut the door', 'grip the handle and pull the door shut', 'use the handle to move the door closed']","['open the door', 'push the door', 'grip the handle and push the door open']"
PushButton,"['push_button_target', 'target_button_topPlate', 'target_button_wrap']","['push the blue button', 'push down the blue button', 'press the button with the blue base', 'press the blue button']","['pick up the blue button', 'rotate the blue button', 'lift the blue button']"
PutItemInDrawer,"['drawer_frame', 'item', 'drawer_legs', 'drawer_bottom', 'drawer_middle', 'drawer_top']","['put item in top drawer', 'put the block away in the top drawer', 'open the top drawer and place the block inside of it', 'leave the block in the top drawer']","['put item in bottom drawer', 'put the block away in the middle drawer', 'open the bottom drawer and place the block inside of it']"
OpenDrawer,"['drawer_frame', 'drawer_legs', 'drawer_bottom', 'drawer_middle', 'drawer_top']","['open top drawer', 'grip the top handle and pull the top drawer open', 'slide the top drawer open']","['close bottom drawer', 'grip the middle handle and push the middle drawer closed', 'slide the bottom drawer closed']"
CloseDrawer,"['drawer_frame', 'drawer_legs', 'drawer_bottom', 'drawer_middle', 'drawer_top']","['close bottom drawer', 'shut the bottom drawer', 'slide the bottom drawer shut']","['open the bottom drawer', 'pull the bottom drawer out', 'leave the bottom drawer open']"
TurnOvenOn,"['turn_oven_on_boundary_root', 'oven_frame', 'oven_base_resp', 'oven_knob_8', 'oven_stove_top0', 'oven_gas_source0', 'oven_knob_10', 'oven_knob_11', 'oven_knob_12', 'oven_knob_13', 'oven_knob_14', 'oven_door_resp', 'oven_knob', 'oven_tray_repondable', 'oven_door', 'oven_knob_9', 'oven_tray']","['turn on the oven', 'grip the left most knob on the oven and rotate it anti-clockwise to turn the oven on', 'turn the left most knob on the oven to switch the oven on', 'heat up the oven', 'get the oven hot', 'preheat the oven', 'get the oven heat going']","['turn off the oven', 'grip the right most knob on the oven and rotate it clockwise to turn the oven off', 'turn the right most knob on the oven to switch the oven off', 'cool down the oven', 'get the oven cold', 'stop preheating the oven', 'get the oven heat off']"
LightBulbOut,"['lamp_base', 'bulb_holder1', 'bulb_holder0', 'spawn_boundary', 'lamp_screw', 'bulb_phys', 'light_bulb', 'bulb']","['put the bulb in the silver holder', 'screw the bulb out and leave it in the silver stand', 'remove the bulb from the lamp and put it in the silver stand', 'take the light bulb out of the lamp and place it in the silver holder', 'grasp the light bulb, twist it anti clockwise until it is no longer attached to the lamp, and drop it into the silver stand']","['put the bulb in the lamp base', 'screw the bulb out and leave it in the lamp base', 'remove the bulb from the lamp and put it in the lamp base', 'take the light bulb out of the lamp and place it in the lamp base', 'grasp the light bulb, twist it clockwise until it is no longer attached to the lamp, and drop it into the lamp base']"
TvOn,"['tv_frame', 'tv_remote', 'spawn_boundary', 'target_button_topPlate0', 'target_button_topPlate1', 'target_button_topPlate2', 'target_button_wrap0', 'power_visual', 'target_button_wrap1', 'plus_visual', 'target_button_wrap2', 'minus_visual']","['turn on the TV', 'point the remote control at the television and turn on the television', 'pick up the remote and rotate it such that the front of the remote is pointed straight at the television, then set the remote down and press the power button down in order to switch on the TV', 'find the power button at the top of the remote, ensure the remote is pointed at the tv, then turn the tv on']","['turn off the TV', 'point the remote control at the television and turn off the television', 'pick up the remote and rotate it such that the front of the remote is pointed straight at the television, then set the remote down and press the power button down in order to switch off the TV', 'find the power button at the top of the remote, ensure the remote is pointed at the tv, then turn the tv off']"
OpenOven,"['oven_boundary_root', 'oven_frame0', 'oven_base', 'oven_knob_8', 'oven_stove_top0', 'oven_gas_source0', 'oven_knob_10', 'oven_knob_11', 'oven_knob_12', 'oven_knob_13', 'oven_knob_14', 'oven_door', 'oven_knob', 'oven_tray', 'oven_door_visual', 'oven_knob_visual', 'oven_tray_visual']","['open the oven', 'open the oven door', 'grab hold of the the handle and pull the oven door open']","['close the oven', 'close the oven door', 'grab hold of the handle and push the oven door closed']"
OpenDoor,"['boundary_root', 'door_frame', 'door_main', 'door_main_visible', 'open_door_handle', 'door_handle_visible']","['open the door', 'grip the handle and push the door open', 'use the handle to open the door']","['close the door', 'grip the handle and pull the door closed', 'use the handle to close the door']"
TakeItemOutOfDrawer,"['item', 'drawer_frame', 'drawer_legs', 'drawer_bottom', 'drawer_middle', 'drawer_top']","['take item out of the bottom drawer', 'open the bottom drawer and take the cube out', 'grasp the bottom handle on the drawers, pull the drawer open, and take out what you find inside', 'clear out the bottom drawer', 'make sure the bottom drawer is empty', 'lift the block out of the bottom drawer', 'using the handle, open the bottom drawer, and remove any items #inside']","['take item out of the top drawer', 'open the middle drawer and take the cube out', 'grasp the top handle on the drawers, pull the drawer open, and take out what you find inside', 'clear out the middle drawer', 'make sure the top drawer is empty', 'lift the block out of the top drawer', 'using the handle, open the middle drawer, and remove any items #inside']"
BeatTheBuzz,"['Cuboid', 'wand', 'wand_visual', 'wand_visual_sub']","['beat the buzz', 'slide the ring along the pole without allowing them to touch', 'slide the ring along the metal pole, avoiding contact between them', 'slide the ring from one end of the pole to the other without allowing them to touch', 'slide the ring from one end of the pole to the other, avoiding contact between them', 'move the ring from one end of the pole to the other, maintaining a gap between them', 'move the ring from end of the pole to the other whilst maintaining separation between them']","['beat the buzz', 'drop the ring on the pole', 'slide the ring along the pole, making sure they touch', 'slide the ring from one end of the pole to the other, ensuring contact between them', 'move the ring from one end of the pole to the other, allowing them to touch', 'move the ring from end of the pole to the other whilst ensuring they touch', 'slide the ring along the metal pole, making sure they touch']"
BlockPyramid,"['block_pyramid_block0', 'block_pyramid_block1', 'block_pyramid_block2', 'block_pyramid_block3', 'block_pyramid_block4', 'block_pyramid_block5', 'block_pyramid_distractor_block0', 'block_pyramid_distractor_block1', 'block_pyramid_distractor_block2', 'block_pyramid_distractor_block3', 'block_pyramid_distractor_block4', 'block_pyramid_distractor_block5', 'block_pyramid_boundary0', 'block_pyramid_boundary1', 'block_pyramid_boundary2', 'block_pyramid_boundary3', 'block_pyramid_plane']","['stack black blocks in a pyramid', 'create a pyramid with the black objects', 'make a pyramid out of black cubes', 'position the black blocks in the shape of a pyramid', 'use the black blocks to build a pyramid']","['stack distractor blocks in a pyramid', 'create a pyramid with the distractor objects', 'make a pyramid out of distractor cubes']"
ChangeClock,"['clock', 'clock_visual', 'clock_needle_hour', 'clock_stand', 'clock_needle_crank', 'clock_needle_minute', 'clock_needle_crank_visual']","['change the clock to show time 12.15', 'adjust the time to 12.15', 'change the clock to 12.15', 'set the clock to 12.15', 'turn the knob on the back of the clock until the time shows 12.15', 'rotate the wheel on the clock to make it show 12.15', 'make the clock say 12.15', 'turn the knob on the back of the clock 90 degrees']","['change the clock to show time 3.45', 'adjust the time to 6.30', 'change the clock to 9.00', 'set the clock to 11.00', 'turn the knob on the back of the clock until the time shows 2.15', 'rotate the wheel on the clock to make it show 4.30', 'make the clock say 7.00', 'turn the knob on the back of the clock 180 degrees']"
CloseJar,"['jar0', 'jar1', 'spawn_boundary', 'jar_lid0']","['close the black jar', 'screw on the black jar lid', 'grasping the lid, lift it from the table and use it to seal the black jar', 'pick up the lid from the table and put it on the black jar']","['open the black jar', 'remove the black jar lid', 'grasping the jar, lift it from the table and use it to seal the black jar', 'pick up the jar from the table and put it on the black jar lid']"
CloseLaptopLid,"['base', 'laptop_holder', 'base_visual', 'lid', 'lid_visual']","['close laptop lid', 'close the laptop', 'shut the laptop lid']","['open laptop lid', 'open the laptop', 'raise the laptop lid']"
EmptyContainer,"['large_container', 'small_container0', 'small_container1', 'spawn_boundary']","['empty the container in the to purple container', 'clear all items from the large tray and put them in the purple tray', 'move all objects from the large container and drop them into the smaller purple one', 'remove whatever you find in the big box in the middle and leave them in the purple one', 'grasp and move all objects into the purple container']","['fill the container with items from the purple container', 'move all objects from the small container to the large one', 'place all items from the purple tray into the large tray']"
EmptyDishwasher,"['boundary_root', 'dishwasher', 'dishwasher_base_visual', 'dishwasher_door', 'dishwasher_tray', 'dishwasher_door_visual', 'dishwasher_tray_visual', 'dishwasher_plate', 'dishwasher_plate_visual']","['empty the dishwasher', 'take dishes out of dishwasher', 'open the  dishwasher door, slide the rack out and remove the dishes']","['close the dishwasher door', 'put dishes into dishwasher', 'slide the rack in and close the dishwasher door']"
